PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
534137,2,54,NA,7,6,NA,NA,115,NA,1500,41,NA,NA,7,6,
534138,1,47,43,3,8,5,7,115,108.3,1000,0,1167,499,4,7.5,
534138,2,47,45,3,4,8,8,110,105,66,33,1500,1500,5.5,6,
534148,1,73,83,1,2,6,7,115,98.3,25,8,1500,750,3.5,4.5,
534148,2,66,76,1,3,3,5,110,93.3,683,675,50,1000,2,4,
534155,1,56,57,3,8,3,5,95,81.7,533,0,850,1500,3,6.5,
534155,2,59,69,3,5,4,6,90,80,666,0,1500,1500,3.5,5.5,
534157,1,63,64,2,3,4,5,105,93.3,216,16,666,750,3,4,
534157,2,61,69,1,6,4,3,105,101.7,25,25,1000,1000,2.5,4.5,
534163,1,59,66,2,4,4,4,85,78.3,675,17,383,1500,3,4,
534163,2,66,69,2,3,2,3,90,91.7,666,0,74,499,2,3,
534167,1,52,50,5,8,7,8,85,80,1333,33,1000,1000,6,8,
534167,2,56,59,4,6,2,6,90,71.7,1500,0,33,1500,3,6,
535783,1,61,62,2,6,3,5,210,173.3,191,341,1167,1250,2.5,5.5,
535783,2,63,69,2,3,2,7,200,190,82,191,99,1500,2,5,
535794,1,56,55,5,6,7,7,115,113.3,1500,0,1333,1500,6,6.5,
535794,2,56,52,3,4,7,8,130,128.3,1000,0,1000,750,5,6,
542406,1,84,83,3,7,7,5,130,145,833,166,833,299,5,6,
542406,2,73,52,3,4,5,5,185,126.7,366,16,1000,1000,4,4.5,
542718,1,52,45,2,6,6,7,145,128.3,499,0,866,99,4,6.5,
542718,2,52,52,2,6,4,4,135,118.3,549,25,833,499,3,5,
548797,1,59,62,3,5,7,7,115,86.7,533,0,1333,499,5,6,
548797,2,59,69,2,2,3,7,110,73.3,1000,166,533,1000,2.5,4.5,
550607,1,61,55,1,5,5,7,260,233.3,666,850,1167,1000,3,6,
550607,2,61,57,2,5,4,6,245,220,699,499,1000,1250,3,5.5,
552856,1,63,59,1,3,3,6,105,100,191,16,366,750,2,4.5,
552856,2,59,69,2,3,3,3,115,111.7,33,25,33,299,2.5,3,
552861,1,56,64,2,7,4,4,120,95,1000,0,1167,1250,3,5.5,
552861,2,63,57,2,2,3,4,115,100,216,166,366,1000,2.5,3,
561072,1,49,45,2,6,6,6,105,98.3,216,0,1333,1000,4,6,
561072,2,49,55,3,4,3,4,115,101.7,349,199,33,1500,3,4,
561073,1,63,78,1,4,3,4,120,93.3,216,0,866,1000,2,4,
561073,2,63,85,1,3,4,5,135,100,33,499,1166,1500,2.5,4,
561472,1,66,78,1,5,2,3,180,168.3,516,41,866,513,1.5,4,
561472,2,66,76,1,4,4,5,190,171.7,191,358,1167,750,2.5,4.5,
564163,1,61,59,2,4,6,6,105,105,208,0,1500,1250,4,5,
564163,2,56,62,3,4,4,5,110,101.7,549,41,700,800,3.5,4.5,
564164,1,59,62,2,5,8,8,105,81.7,232,8,1333,1000,5,6.5,
564164,2,56,69,3,5,4,7,105,98.3,1000,25,508,1500,3.5,6,
564165,1,63,NA,3,5,3,7,105,63.7,699,25,1167,1500,3,6,
564165,2,66,83,1,6,4,7,105,71.7,58,1016,666,1500,2.5,6.5,
565121,1,59,62,2,4,3,5,120,91.7,666,0,1500,1500,2.5,4.5,
565121,2,59,66,2,3,2,4,125,115,541,41,1167,1500,2,3.5,
566819,1,75,78,1,6,4,7,295,240,216,499,1167,1000,2.5,6.5,
566819,2,66,85,4,6,4,5,265,198.3,533,216,700,1000,4,5.5,
574455,1,73,69,1,3,3,5,85,76.7,191,8,1033,1000,2,4,
574455,2,66,69,2,4,2,7,90,85,58,1033,25,1500,2,5.5,
576130,1,81,NA,1,3,4,5,210,135,33,499,1166,1500,2.5,4,
576130,2,77,88,2,2,3,3,210,143.3,33,341,232,1500,2.5,2.5,
576339,1,52,50,5,7,7,8,90,86.7,666,0,1000,1000,6,7.5,
576339,2,54,55,4,7,3,5,105,86.7,1000,8,216,1000,3.5,6,
576345,1,56,52,4,7,7,8,110,105,683,0,1167,750,5.5,7.5,
576345,2,54,50,5,7,5,6,115,103.3,1033,0,1333,750,5,6.5,
576348,1,49,55,2,9,4,8,110,108.3,666,0,1000,299,3,8.5,
576348,2,54,55,3,9,2,4,135,128.3,199,99,50,750,2.5,6.5,
576352,1,56,48,2,5,3,7,75,81.7,0,0,1500,750,2.5,6,
576352,2,52,55,2,7,5,5,80,85,666,0,216,1500,3.5,6,
576359,1,54,62,2,7,4,6,145,95,366,8,1000,1250,3,6.5,
576359,2,61,69,2,3,4,5,115,140,50,683,216,1000,3,4,
576366,1,54,NA,6,8,NA,NA,65,NA,1167,8,NA,NA,6,8,
576366,2,59,NA,3,7,NA,NA,65,NA,1033,0,NA,NA,3,7,
576373,1,54,57,2,8,3,6,65,65,366,16,232,1500,2.5,7,
576373,2,59,59,2,5,6,7,70,66.7,383,0,1000,750,4,6,
576375,1,56,59,3,8,3,7,115,108.3,1166,0,833,1250,3,7.5,
576375,2,56,62,3,4,2,4,120,96.7,699,49,49,750,2.5,4,
576376,1,56,57,5,8,7,8,85,81.7,1000,0,1166,1000,6,8,
576376,2,54,59,3,6,7,8,80,85,1008,0,1500,1500,5,7,
576380,1,61,55,3,3,4,6,125,115,358,499,1166,1500,3.5,4.5,
576380,2,63,69,2,5,3,5,120,118.3,349,16,699,1500,2.5,5,
576381,1,59,57,4,6,7,7,80,65,1000,8,1333,750,5.5,6.5,
576381,2,61,62,4,6,5,7,80,73.3,1500,66,1500,1500,4.5,6.5,
576386,1,63,69,3,7,5,6,165,126.7,666,0,1167,750,4,6.5,
576386,2,61,71,3,4,5,6,160,160,33,208,1333,1500,4,5,
576387,1,61,55,2,7,5,7,90,93.3,1333,16,1167,499,3.5,7,
576387,2,59,66,5,6,4,4,95,103.3,349,25,533,1500,4.5,5,
576390,1,49,45,3,7,6,8,105,96.7,1166,17,1166,750,4.5,7.5,
576390,2,59,NA,2,4,NA,NA,110,NA,842,0,NA,NA,2,4,
576391,1,56,66,5,7,5,6,135,80,833,0,333,750,5,6.5,
576391,2,56,76,5,6,2,6,125,76.7,1016,191,99,550,3.5,6,
576393,1,47,48,3,8,4,5,75,78.3,700,8,800,750,3.5,6.5,
576393,2,47,48,3,7,4,5,80,81.7,666,0,499,1250,3.5,6,
576418,1,59,56,2,5,3,4,125,120,341,8,516,750,2.5,4.5,
576418,2,59,62,3,5,4,4,145,131.7,58,25,82,550,3.5,4.5,
576422,1,56,NA,6,7,NA,NA,90,NA,1167,0,NA,NA,6,7,
576422,2,54,57,3,5,8,7,90,75,1500,25,500,750,5.5,6,
