2019 Field,Rep ,2019 Entry,Pedigree,PI Number
2955,2,1720,Standard Blackhull Kafir,655970
2956,2,1616,Bulfontein White Kafir Corn DL/60/133,533979
2957,2,1727,Tx2741,655979
2958,2,1730,Plainsman,655985
2959,2,1760,SRN39,656027
2960,2,1767,ICSV 401,656037
2961,2,1690,SAP-149,595720
2962,2,1797,SC 1426,656079
2963,2,1695,SAP-336,597945
2964,2,1559,Mashila,329440
2965,2,1832,RTAM428,656009
2966,2,1745,R9188,656007
2967,2,1711,RTx437,629034
2968,2,1784,P850029,656056
2969,2,1582,Bonkum,533824
2970,2,1799,SC 1439,656081
2971,2,1575,No. 5 Gambela,533794
2972,2,1811,SC 480,656097
2973,2,1819,SC 968,656110
2974,2,1754,BTx2752,656018
2975,2,1648,R Line AR2002,542406
2976,2,1634,EC 21360 G29,534104
2977,2,1718,Cowley,651492
2978,2,1704,SAP-168,597968
2979,2,1807,SC 22,656091
2980,2,1766,Dorado,656034
2981,2,1592,KO 61 Baragwan Koki,533882
2982,2,1558,IS 12661,276837
2983,2,1714,Kansas Orange,641824
2984,2,1663,SAP-312,576339
2985,2,1757,SEPON82,656024
2986,2,1694,SAP-157,595744
2987,2,1652,A/BTX 631,552861
2988,2,1751,Acme Broomcorn,656014
2989,2,1837,SC 451,533934
2990,2,1646,Rexx,534163
2991,2,1776,M35-1,656047
2992,2,1742,B Az9504,656003
2993,2,1633,A-106,534101
2994,2,1834,No. 5 Gambela,257599
2995,2,1676,Kharuth Waragel,576390
2996,2,1655,Sureno,561472
2997,2,1772,NSA440-Karper,656042
2998,2,1829,N109B,535794
2999,2,1682,SAP-129,576426
3000,2,1715,Day Milo,641874
3001,2,1691,SAP-131,595739
3002,2,1600,"R1,4",533919
3003,2,1831,N98,535783
3004,2,1746,RCV,656008
3005,2,1686,Tx2903,585291
3006,2,1721,Standard White Milo,655971
3007,2,1563,Feterita Gondal,533755
3008,2,1828,IS 5590C,659753
3009,2,1596,Kokla,533911
3010,2,1794,SC 1251,656075
3011,2,1650,Tx2891,548797
3012,2,1570,290 Feterita Shendi 2,533769
3013,2,1577,IS 12666C,533800
3014,2,1723,Texas Blackhull Kafir,655974
3015,2,1791,SC 748-5,656070
3016,2,1734,Redbine-60,655989
3017,2,1738,R TX 431,655997
3018,2,1747,RTAM428,656009
3019,2,1790,SC 326-6,656069
3020,2,1613,SB-283,533967
3021,2,1626,Jonar Tamargundi,534028
3022,2,1755,BTx3042,656019
3023,2,1627,420 Kalatilansa,534046
3024,2,1753,B KS66,656016
3025,2,1820,SC 971,656111
3026,2,1817,SC 833,656108
3027,2,1594,No. 35 Mab,533903
3028,2,1669,SAP-325,576373
3029,2,1744,88V1080,656006
3030,2,1638,Akwu,534115
3031,2,1699,SAP-197,597958
3032,2,1587,255 Tirter,533866
