"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI552861.C57CTACXX.8.11203",1.79,1,2.033528955,0.57,0.72,2.75,2.78,8.4,0.6,0.33,0.18
"PI561072.C57CTACXX.9.12647",1.7,4,2.024601651,0.65,0.78,2.59,2.81,8,0.33,0.24,0.1
"PI561073.C57CTACXX.8.11313",1.86,6,2.048954252,0.51,0.7,2.76,2.85,7.1,0.51,0.32,0.21
"PI561472.C57CTACXX.8.11565",1.86,0,2.251176041,0.48,0.72,2.84,2.59,8.7,0.68,0.37,0.24
"PI564163.MERGE",1.79,2,2.026868752,0.68,0.76,2.86,2.71,8.4,0.5,0.3,0.18
"PI564164.C57CTACXX.2.2363",1.8,1,1.992173629,0.72,0.86,2.89,2.79,8.5,0.37,0.21,0.15
"PI564165.C57CTACXX.2.2043",1.87,4,1.931025915,0.57,0.86,2.77,2.99,7.5,0.56,0.31,0.15
"PI566819.MERGE",1.89,2,2.395419121,0.63,0.85,2.82,2.83,8.3,0.66,0.34,0.22
"PI574455.MERGE",1.85,1,1.929850082,0.48,0.76,2.21,2.9,8.4,0.6,0.42,0.19
"PI576130.C57CTACXX.1.1364",1.93,3,2.2354636,0.54,0.63,2.45,2.98,8.3,0.64,0.36,0.32
"PI576339.C57CTACXX.2.2815",1.73,2,1.967504061,0.76,0.89,2.85,2.7,8.2,0.45,0.25,0.12
"PI576345.C57CTACXX.3.3355",1.73,1,2.038384296,0.8,0.9,3.02,2.57,8.7,0.5,0.27,0.13
"PI576348.C57CTACXX.3.3952",1.73,0,2.083096358,0.57,0.93,2.51,2.4,8.9,0.43,0.25,0.14
"PI576352.C57CTACXX.2.3063",1.73,3,1.910324286,0.6,0.85,2.76,2.73,8.2,0.33,0.19,0.15
"PI576359.C57CTACXX.2.2942",1.8,0,2.094061886,0.6,0.8,2.48,2.86,8.8,0.44,0.38,0.17
"PI576366.C57CTACXX.3.3904",1.76,0,1.819543936,0.74,0.93,3.04,0.49,8.8,0.29,0.15,0.14
"PI576373.C57CTACXX.2.2719",1.77,5,1.830197132,0.63,0.88,2.66,2.73,7.7,0.59,0.32,0.16
"PI576375.C57CTACXX.3.3372",1.77,3,2.044281015,0.57,0.83,2.79,2.7,8,0.38,0.24,0.12
"PI576376.C57CTACXX.3.3820",1.76,1,1.923745501,0.81,0.93,3.07,2.79,8.5,0.31,0.22,0.11
"PI576380.C57CTACXX.4.4613",1.8,3,2.081115704,0.64,0.8,2.8,2.94,8.1,0.41,0.28,0.16
"PI576381.C57CTACXX.3.3838",1.78,7,1.877307932,0.78,0.88,3.12,2.74,6.5,0.45,0.38,0.18
"PI576386.C57CTACXX.4.5099",1.83,3,2.186416812,0.7,0.83,2.9,2.75,7.9,0.58,0.33,0.24
"PI576387.C57CTACXX.3.3268",1.79,4,1.983875661,0.7,0.85,2.87,2.65,7.6,0.6,0.34,0.29
"PI576390.C57CTACXX.8.11364",1.7,1,2.012530394,0.72,0.89,3,1.29,8.1,0.27,0.2,0.09
"PI576391.C57CTACXX.8.11028",1.81,2,2.008205215,0.72,0.86,2.76,2.57,8.4,0.36,0.18,0.12
"PI576393.C57CTACXX.8.11903",1.69,1,1.901567162,0.65,0.86,2.82,2.69,8.7,0.51,0.28,0.14
"PI576418.C57CTACXX.3.3862",1.78,0,2.117797553,0.6,0.74,2.24,2.52,9,0.66,0.38,0.19
"PI576422.C57CTACXX.2.3062",1.76,2,1.919927492,0.86,0.88,3.03,1.29,7.6,0.18,0.16,0.08
