Taxa	Log_D1_2019&2020AC	Log_D2_2019&2020AC
PI656100.C57CTACXX.8.11624	2.32	2.56
PI656104.C57CTACXX.2.2893	2.84	2
PI656105.C57CTACXX.3.3697	2.89	2.75
PI656106.C57CTACXX.3.3129	2.64	2.29
PI656108.C57CTACXX.3.3095	3	2.73
PI656109.C57CTACXX.8.12203	2.74	2.27
PI656110.C57CTACXX.8.11659	2.93	1.4
PI656111.MERGE	3.07	0.49
PI656115.MERGE	2.92	0.91
PI656116.C57CTACXX.4.4742	2.81	1.88
PI656118.C57CTACXX.3.4266	3.08	2.79
PI656121.MERGE	2.3	2.32
PI659692.C57CTACXX.3.4166	2.37	1.25
PI659695.C57CTACXX.4.5411	2.92	2.7
PI659753.C57CTACXX.3.4411	1.89	2.73
SAP_Grif578	2.88	2.79
SAP_PI264453	2.98	2.76
SAP_PI533934	2.74	2.7
SAP_PI550607	2.95	2.95
SAP_PI607900	3.09	2.54
SAP_PI644294	3.02	2.29
SAP_PI675167	2.91	2.84
